"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha","xend","yend","nudge_x","nudge_y","yintercept"
2,1902.3417721519,0.597927829731578,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1905.98734177215,0.598505796786572,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1909.63291139241,0.599083763841567,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1913.27848101266,0.599661730896562,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1916.92405063291,0.600239697951556,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1920.56962025316,0.600817665006551,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1924.21518987342,0.601395632061546,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1927.86075949367,0.60197359911654,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1931.50632911392,0.602551566171535,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1935.15189873418,0.60312953322653,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1938.79746835443,0.603707500281525,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1942.44303797468,0.604285467336519,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.08860759494,0.604863434391514,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1949.73417721519,0.605441401446509,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1953.37974683544,0.606019368501503,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1957.0253164557,0.606597335556498,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1960.67088607595,0.607175302611493,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1964.3164556962,0.607753269666487,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1967.96202531646,0.608331236721482,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1971.60759493671,0.608909203776477,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1975.25316455696,0.609487170831472,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1978.89873417722,0.610065137886466,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1982.54430379747,0.610643104941461,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986.18987341772,0.611221071996456,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1989.83544303797,0.61179903905145,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1993.48101265823,0.612377006106445,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1997.12658227848,0.61295497316144,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000.77215189873,0.613532940216434,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2004.41772151899,0.614110907271429,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008.06329113924,0.614688874326424,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2011.70886075949,0.615266841381419,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015.35443037975,0.615844808436413,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019,0.616422775491408,"1",-1,,"#CBC3E3","#999999FF",,"0.2",,"FALSE",0.5,"1",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1731,0.46,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Copley Medal",1,,1731.45,0.46,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6,,,,,
3,1901,1,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Nobel Prize in Physics",1,1900.55,1901.45,1,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6,,,,,
3,1901,1,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Nobel Prize in Chemistry",1,1900.55,1901.45,1,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6,,,,,
3,1936,0.95,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"Fields Medal",1,1935.55,1936.45,0.95,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6,,,,,
3,1966,0.82,"1",-1,,"black","#FFFFFFB2",2.5,,,,,,,"A. M. Turing Award",1,1965.55,1966.45,0.82,0,"",1,1.2,0.5,0.5,1,1,0.5,0,90,1,0.5,"TRUE",1,"FALSE","FALSE","grey50",0.6,,,,,
