"layer","x","y","fill","PANEL","group","align_padding","flipped_aes","ymin","ymax","xmin","xmax","colour","linewidth","linetype","alpha"
1,1969,1,"#377eb8","1",1,"FALSE","FALSE",0.32,1,1969,1969,"white",0.15,1,0.95
1,1969.125,1,"#377eb8","1",1,"FALSE","FALSE",0.317037037037037,1,1969.125,1969.125,"white",0.15,1,0.95
1,1969.875,1,"#377eb8","1",1,"FALSE","FALSE",0.299259259259259,1,1969.875,1969.875,"white",0.15,1,0.95
1,1970,1,"#377eb8","1",1,"FALSE","FALSE",0.296296296296296,1,1970,1970,"white",0.15,1,0.95
1,1970.125,1,"#377eb8","1",1,"FALSE","FALSE",0.296296296296296,1,1970.125,1970.125,"white",0.15,1,0.95
1,1970.875,1,"#377eb8","1",1,"FALSE","FALSE",0.296296296296296,1,1970.875,1970.875,"white",0.15,1,0.95
1,1971,1,"#377eb8","1",1,"FALSE","FALSE",0.296296296296296,1,1971,1971,"white",0.15,1,0.95
1,1971.125,1,"#377eb8","1",1,"FALSE","FALSE",0.293742017879949,1,1971.125,1971.125,"white",0.15,1,0.95
1,1971.875,1,"#377eb8","1",1,"FALSE","FALSE",0.278416347381865,1,1971.875,1971.875,"white",0.15,1,0.95
1,1972,1,"#377eb8","1",1,"FALSE","FALSE",0.275862068965517,1,1972,1972,"white",0.15,1,0.95
1,1972.125,1,"#377eb8","1",1,"FALSE","FALSE",0.274712643678161,1,1972.125,1972.125,"white",0.15,1,0.95
1,1972.875,1,"#377eb8","1",1,"FALSE","FALSE",0.267816091954023,1,1972.875,1972.875,"white",0.15,1,0.95
1,1973,1,"#377eb8","1",1,"FALSE","FALSE",0.266666666666667,1,1973,1973,"white",0.15,1,0.95
1,1973.125,1,"#377eb8","1",1,"FALSE","FALSE",0.265591397849462,1,1973.125,1973.125,"white",0.15,1,0.95
1,1973.875,1,"#377eb8","1",1,"FALSE","FALSE",0.259139784946237,1,1973.875,1973.875,"white",0.15,1,0.95
1,1974,1,"#377eb8","1",1,"FALSE","FALSE",0.258064516129032,1,1974,1974,"white",0.15,1,0.95
1,1974.125,1,"#377eb8","1",1,"FALSE","FALSE",0.257056451612903,1,1974.125,1974.125,"white",0.15,1,0.95
