"layer","y","x","PANEL","group","flipped_aes","colour","linewidth","linetype","alpha","family","size","angle","hjust","vjust","fontface","lineheight","label"
2,449.093232112732,2004,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,471.421305944229,2004,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,480.724670040687,2004,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,480.910737322616,2005,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,482.771410141907,2006,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,487.423092190136,2007,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,499.424431874566,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,508.727795971023,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,518.03116006748,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,527.334524163938,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,535.056316363997,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,542.778108564057,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,550.499900764116,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,550.524089510767,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,558.245881710827,2008,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,559.622779597102,2009,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,567.344571797162,2009,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,593.393991267242,2011,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,760.854545003473,2012,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,928.315098739704,2013,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,939.944303860276,2013,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,953.899350004962,2013,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,967.854396149648,2014,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,1135.31494988588,2015,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,1166.94638781383,2018,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,1167.13245509576,2019,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,0.61402203036618,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,0.61402203036618,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,0.800089312295326,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,0.986156594224472,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,1.17222387615362,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,5.82390592438226,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.0099732063114,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.19604048824055,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.19604048824055,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.19604048824055,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.26860672819291,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.96635903542721,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,6.96635903542721,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,25.5730872283418,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,44.1798154212563,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,62.7865436141709,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
2,100,,"1",-1,"FALSE","#8B0000",0.8,1,,,,,,,,,
3,65,1940,"1",-1,,"#1A237E",,,,"",3,0,0,0.5,1,1.2,"Cumulative Number of Prizes"
4,175,1940,"1",-1,,"#8B0000",,,,"",3,10,0,0.5,1,1.2,"Cumulative Prize Money per Year"
