"layer","y","x","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,1700000,2018,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20000,2019,"1",-1,21,"black","blue",2,"0.3",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-312594.704701579,1731,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-299989.803859456,1734.64556962025,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-287384.903017334,1738.29113924051,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-274780.002175212,1741.93670886076,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-262175.101333088,1745.58227848101,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-249570.200490966,1749.22784810127,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-236965.299648843,1752.87341772152,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-224360.398806721,1756.51898734177,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-211755.497964598,1760.16455696203,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-199150.597122476,1763.81012658228,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-186545.696280352,1767.45569620253,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-173940.79543823,1771.10126582278,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-161335.894596107,1774.74683544304,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-148730.993753985,1778.39240506329,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-136126.092911862,1782.03797468354,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-123521.19206974,1785.6835443038,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-110916.291227616,1789.32911392405,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-98311.3903854936,1792.9746835443,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-85706.4895433709,1796.62025316456,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-73101.5887012491,1800.26582278481,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-60496.6878591264,1803.91139240506,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-47891.7870170036,1807.55696202532,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-35286.88617488,1811.20253164557,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-22681.9853327582,1814.84810126582,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,-10077.0844906354,1818.49367088608,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,2527.8163514873,1822.13924050633,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,15132.71719361,1825.78481012658,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,27737.6180357328,1829.43037974684,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,40342.5188778555,1833.07594936709,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,52947.4197199782,1836.72151898734,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,65552.320562101,1840.36708860759,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,78157.2214042237,1844.01265822785,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,90762.1222463455,1847.6582278481,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,103367.023088468,1851.30379746835,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,115971.923930592,1854.94936708861,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,128576.824772715,1858.59493670886,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,141181.725614836,1862.24050632911,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,153786.626456959,1865.88607594937,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,166391.527299082,1869.53164556962,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,178996.428141205,1873.17721518987,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,191601.328983327,1876.82278481013,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,204206.22982545,1880.46835443038,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,216811.130667573,1884.11392405063,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,229416.031509696,1887.75949367089,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,242020.932351818,1891.40506329114,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,254625.83319394,1895.05063291139,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,267230.734036064,1898.69620253165,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,279835.634878187,1902.3417721519,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,292440.535720309,1905.98734177215,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,305045.436562431,1909.63291139241,"1",-1,,"#CBC3E3","#999999FF",,"0.8",,"FALSE",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
