field,country,year,n_authors
"Chemical Engineering",RE,2023,2
"Chemical Engineering",RE,2024,2
"Chemical Engineering",RO,2015,215
"Chemical Engineering",RO,2016,233
"Chemical Engineering",RO,2017,240
"Chemical Engineering",RO,2018,249
"Chemical Engineering",RO,2019,254
"Chemical Engineering",RO,2020,266
"Chemical Engineering",RO,2021,279
"Chemical Engineering",RO,2022,289
"Chemical Engineering",RO,2023,295
"Chemical Engineering",RO,2024,307
"Chemical Engineering",RS,2015,120
"Chemical Engineering",RS,2016,132
"Chemical Engineering",RS,2017,137
"Chemical Engineering",RS,2018,143
"Chemical Engineering",RS,2019,151
"Chemical Engineering",RS,2020,156
"Chemical Engineering",RS,2021,160
"Chemical Engineering",RS,2022,165
"Chemical Engineering",RS,2023,170
"Chemical Engineering",RS,2024,173
"Chemical Engineering",RU,2015,2546
"Chemical Engineering",RU,2016,2694
"Chemical Engineering",RU,2017,2808
"Chemical Engineering",RU,2018,2943
"Chemical Engineering",RU,2019,3076
"Chemical Engineering",RU,2020,3208
"Chemical Engineering",RU,2021,3300
"Chemical Engineering",RU,2022,3380
"Chemical Engineering",RU,2023,3437
"Chemical Engineering",RU,2024,3484
"Chemical Engineering",RW,2015,1
"Chemical Engineering",RW,2016,1
"Chemical Engineering",RW,2017,1
"Chemical Engineering",RW,2018,2
"Chemical Engineering",RW,2019,3
"Chemical Engineering",RW,2020,4
"Chemical Engineering",RW,2021,4
"Chemical Engineering",RW,2022,4
"Chemical Engineering",RW,2023,5
"Chemical Engineering",RW,2024,5
"Chemical Engineering",SA,2015,205
"Chemical Engineering",SA,2016,229
"Chemical Engineering",SA,2017,254
"Chemical Engineering",SA,2018,298
"Chemical Engineering",SA,2019,337
"Chemical Engineering",SA,2020,392
"Chemical Engineering",SA,2021,428
"Chemical Engineering",SA,2022,464
"Chemical Engineering",SA,2023,508
"Chemical Engineering",SA,2024,559
"Chemical Engineering",SD,2015,9
"Chemical Engineering",SD,2016,13
"Chemical Engineering",SD,2017,14
